LER Number,Plant Name,Event Date,Report Date,Title/Abstract,Cause Labels,Incident Labels
252022001.0,Vogtle 3,10/06/2022,12/02/2022,Automatic Reactor Trip Signal due to Inadequate Procedure Guidance Causing Incorrect Opening of Division B DC Supply Breaker,['Design or Maintenance Issues'],['Operational Incidents']
252022002.0,Vogtle 3,10/23/2022,02/03/2023,Automatic Depressurization System Stage 4 Flow Paths Inoperable During Mode 6 with Upper Internals in Place due to Inadequate Work Processes,['Design or Maintenance Issues'],['Unclassified']
252022003.0,Vogtle 3,10/24/2022,12/19/2022,Unborated Water Flowpath Not Secured per Technical Specification 3.9.2 due to Inadequate Procedure Revision,['Design or Maintenance Issues'],['Unclassified']
252023001.0,Vogtle 3,01/14/2023,03/14/2023,Manual Actuation of Reactor Protection System During Mode 3 due to an Inadequate Procedure Step,['Design or Maintenance Issues'],['Operational Incidents']
252023002.0,Vogtle 3,03/15/2023,05/15/2023,"Automatic RPS Actuation During Mode 1 due to Incorrect Relay Settings Caused by Less Than Adequate Questioning Attitude, Validation of Assumptions, and lnterface/Guidance",['Unclassified'],['Unclassified']
252023003.0,Vogtle 3,04/10/2023,06/08/2023,Automatic Reactor Protection System Actuation During Startup Testing due to Incorrect Turbine Control Valve Setting,['Unclassified'],['Equipment and Mechanical Failures']
252023004.0,Vogtle 3,05/02/2023,06/30/2023,Manual Reactor Protection System Actuation due to Condenser Flanges Not Removed During Construction,['Unclassified'],['Unclassified']
252023005.0,Vogtle 3,07/09/2023,09/06/2023,Automatic Reactor Protection System Actuation During Startup Testing due to Inadequate Turbine Trip Logic,['Design or Maintenance Issues'],['Unclassified']
252023006.0,Vogtle 3,07/21/2023,09/19/2023,"Automatic Reactor Protection System Actuation During Startup Testing due to Auto Reactive Power Regulator Being Active 
While in Island Mode Operation",['Unclassified'],['Electrical and Power Issues']
292021001.0,Yankee-Rowe,11/19/2021,01/12/2022,Compensatory Measure Not Established for a Momentary I/O Board Communication Loss,['Unclassified'],['Unclassified']
2192022001.0,Oyster Creek,05/07/2021,01/21/2022,Compensatory Measures Not Implemented Per Site's Physical Security Plan due to Multiplexer (MUX) Failure,['Unclassified'],['Equipment and Mechanical Failures']
2202021001.0,Nine Mile Point 1,03/12/2021,05/11/2021,Average Power Range Monitors Declared Inoperable due to Trip of Reactor Recirculation Pump 13,['Unclassified'],"['Equipment and Mechanical Failures', 'Electrical and Power Issues']"
2202021002.0,Nine Mile Point 1,09/25/2021,11/19/2021,Isolation of Both Emergency Condensers due to Loss of UPS 162A,['Unclassified'],['Environmental and Containment Issues']
2202023001.0,Nine Mile Point 1,03/18/2023,08/11/2023,"Supplement to LER 2023-001-00, Indication on the N2E Dissimilar Metal Weld Exceeding ASME Acceptance Criteria",['Unclassified'],['Unclassified']
2202023002.0,Nine Mile Point 1,10/21/2023,12/15/2023,Average Power Range Monitors Declared Inoperable due to Trip of Reactor Recirculation Pump 12,['Unclassified'],"['Equipment and Mechanical Failures', 'Electrical and Power Issues']"
2372022001.0,Dresden 2,07/12/2022,10/28/2022,Unit 2 Reactor Scram due to Turbine Trip on High Reactor Water Level Caused by Feedwater Regulating Valve Failure,['Unclassified'],['Equipment and Mechanical Failures']
2372022002.0,"Dresden 2, Dresden 3",07/29/2022,10/28/2022,Ultimate Heat Sink Declared Inoperable due to River Grass Accumulation,['Unclassified'],['Unclassified']
2442021001.0,Ginna,06/02/2021,11/18/2021,"Service Water Pump ""A"" Declared Inoperable due to Winding Failure Following Replacement Resulting in Violation of Technical Specifications LCO 3.7.8.A (One Service Water Pump Inoperable Greater than 14 days)",['Unclassified'],['Equipment and Mechanical Failures']
2442021002.0,Ginna,10/04/2021,12/02/2021,Valid Auxiliary Feedwater System Actuation on Lowered Steam Generator Level due to Failure to Control Main Feed Water Flow and Delay in Closing Main Steam Isolation Valves,['Unclassified'],"['Equipment and Mechanical Failures', 'Electrical and Power Issues', 'Environmental and Containment Issues']"
2442023001.0,Ginna,04/11/2023,06/07/2023,Vital Bus 17 Failed to Load onto Emergency Diesel Generator B During Load / Safeguard Sequence Testing; Corroded Breaker Shunt Trip Attachment Plunger Found Which Indicated an Earlier Violation of Technical Specifications 3.8.1,['Unclassified'],['Electrical and Power Issues']
2442023002.0,Ginna,09/09/2023,11/08/2023,Overtemperature Delta Temperature Reactor Protection System and Auxiliary Feedwater System Actuations on due to 100% Load Rejection Caused by Turbine Overspeed Circuit Card Failure (Parts Quality Initiative Inspection Bypassed),['Systemic or Policy Failures'],['Equipment and Mechanical Failures']
2442023003.0,Ginna,10/12/2023,03/07/2024,"Supplement to LER 2023-003-00, Manual Reactor Trip due to Degraded Condenser Vacuum from Lowering Main Steam to Air 
Ejectors and Auxiliary Feedwater Actuation due to Low Steam Generator Level",['Unclassified'],"['Electrical and Power Issues', 'Operational Incidents']"
