LER Number,Plant Name,Event Date,Report Date,Title/Abstract,Cause Labels,Incident Labels
252022001.0,Vogtle 3,10/06/2022,12/02/2022,Automatic Reactor Trip Signal due to Inadequate Procedure Guidance Causing Incorrect Opening of Division B DC Supply Breaker,['Design or Maintenance Issues'],['Operational Incidents']
252022002.0,Vogtle 3,10/23/2022,02/03/2023,Automatic Depressurization System Stage 4 Flow Paths Inoperable During Mode 6 with Upper Internals in Place due to Inadequate Work Processes,['Design or Maintenance Issues'],['Unclassified']
252022003.0,Vogtle 3,10/24/2022,12/19/2022,Unborated Water Flowpath Not Secured per Technical Specification 3.9.2 due to Inadequate Procedure Revision,['Design or Maintenance Issues'],['Unclassified']
252023001.0,Vogtle 3,01/14/2023,03/14/2023,Manual Actuation of Reactor Protection System During Mode 3 due to an Inadequate Procedure Step,['Design or Maintenance Issues'],['Operational Incidents']
252023005.0,Vogtle 3,07/09/2023,09/06/2023,Automatic Reactor Protection System Actuation During Startup Testing due to Inadequate Turbine Trip Logic,['Design or Maintenance Issues'],['Unclassified']
2442023002.0,Ginna,09/09/2023,11/08/2023,Overtemperature Delta Temperature Reactor Protection System and Auxiliary Feedwater System Actuations on due to 100% Load Rejection Caused by Turbine Overspeed Circuit Card Failure (Parts Quality Initiative Inspection Bypassed),['Systemic or Policy Failures'],['Equipment and Mechanical Failures']
2542021001.0,Quad Cities 1,03/19/2021,05/18/2021,Automatic Actuation of Emergency Diesel Generator due to Transformer Maintenance,['Design or Maintenance Issues'],['Electrical and Power Issues']
2702023001.0,Oconee 2,04/17/2023,02/29/2024,"Inappropriate Procedural Guidance for Planned Online Maintenance Results in Event or Condition That Could Have Prevented 
Fulfillment of a Safety Function",['Design or Maintenance Issues'],['Unclassified']
3062021001.0,Prairie Island 2,10/03/2021,11/18/2021,22 Turbine Driven Auxiliary Feedwater Pump Actuation Signal Due to Procedure Error,['Human Factors and Errors'],['Equipment and Mechanical Failures']
3182022002.0,Calvert Cliffs 2,09/14/2022,11/11/2022,Unplanned Safety Injection Actuation Signal due to Human Error,['Human Factors and Errors'],['Unclassified']
3332021001.0,FitzPatrick,08/24/2021,01/10/2023,Inadequate Protection Devices for DC Motor Field Shunt Cables Through Separate Fire Areas,['Design or Maintenance Issues'],['Unclassified']
3332023003.0,FitzPatrick,04/24/2023,06/23/2023,Emergency Diesel Generator Fuel Oil Supply Procedure Error “B” Subsystem,['Human Factors and Errors'],['Electrical and Power Issues']
3692022001.0,"McGuire 1, McGuire 2",06/21/2022,08/18/2022,Both Control Room Area Chilled Water System Trains Inoperable due to Human Error,['Human Factors and Errors'],['Unclassified']
3692023001.0,McGuire 1,10/18/2023,12/13/2023,Automatic Actuation of the 1A Motor Driven Auxiliary Feedwater Pump due to Human Error,['Human Factors and Errors'],['Equipment and Mechanical Failures']
3822022002.0,Waterford 3,03/17/2022,05/13/2022,Operation Prohibited by Technical Specifications Due to Personnel Error,['Human Factors and Errors'],['Unclassified']
3822022003.0,Waterford 3,04/13/2022,06/13/2022,Operation Prohibited by Technical Specifications due to Radiation Monitor Calibration Error,['Human Factors and Errors'],['Unclassified']
3822022004.0,Waterford 3,04/24/2022,06/23/2022,Operation Prohibited by Technical Specifications due to Inadequate Radiation Monitor Calibration Procedures,['Design or Maintenance Issues'],['Unclassified']
3872021002.0,"Susquehanna 1, Susquehanna 2",04/29/2021,06/28/2021,Inoperability of Computer Room Floor Cooling Fan Caused by Extended Operation with Worn Belts due to Less Than Adequate Preventive Maintenance Replacement Interval,['Design or Maintenance Issues'],['Unclassified']
3882021004.0,Susquehanna 2,10/11/2021,11/03/2022,Unit 2 Main Turbine Pressure Regulator Inoperable for Longer Than Allowed by Technical Specifications due to Inadequate Valve Modification,['Design or Maintenance Issues'],['Equipment and Mechanical Failures']
3882022001.0,Susquehanna 2,09/26/2022,11/23/2022,Inadequate Performance of Loss of Safety Determination Resulting in Both Divisions of Core Spray Being Inoperable,['Design or Maintenance Issues'],['Unclassified']
3902023001.0,Watts Bar 1,05/03/2023,09/27/2023,Inadequate 10 CFR 50.59 Results in Failure to Obtain Prior NRC Approval for Condition Prohibited by Technical Specifications,['Design or Maintenance Issues'],['Equipment and Mechanical Failures']
4102022001.0,Nine Mile Point 2,04/05/2022,06/03/2022,Automatic Reactor Scram due to Low Reactor Water Level During Maintenance,['Design or Maintenance Issues'],['Unclassified']
4122021003.0,Beaver Valley 2,10/22/2021,12/17/2021,Indications Identified During Reactor Vessel Head Inspection,['Systemic or Policy Failures'],['Unclassified']
4122023001.0,Beaver Valley 2,04/22/2023,06/16/2023,Indications Identified During Reactor Vessel Head Inspection,['Systemic or Policy Failures'],['Unclassified']
4142021001.0,Catawba 2,04/20/2021,06/21/2021,Indication Identified During Reactor Pressure Vessel Head Nozzle Penetration Inspection,['Systemic or Policy Failures'],['Unclassified']
